 251 ; Медаль В память войны 1853-1856. D-28мм ;  ;  ; Ж/м ; XF+ ; 33 ; Blister ; 4970 
 90 ; Полтина (Петров-3р, Ильин-3р) ; 1804 ; СПБ ФГ ; Ag ; VF-XF ; 43 ; eastern wind ; 50999 
 91 ; Полтина ; 1820 ; СПБ ПД ; Ag ; XF ; 61 ; Продано в зале ; 20000 
 92 ; Полтина (Ильин-25 р). О/с старого типа ; 1826 ; СПБ НГ ; Ag ; VF ; 27 ; Продано в зале ; 62000 
 93 ; Полтина ; 1850 ; СПБ ПА ; Ag ; XF+ ; 48 ; tо-tо ; 14025 
 94 ; Полтина ; 1878 ; СПБ НФ ; Ag ; XF ; 37 ; ЛАВ-13 ; 11996 
 95 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF+ ; 29 ; fgd ; 7887 
 96 ; Полтина ; 1897 ; ( * ) ; Ag ; AU ; 57 ; ZOLTAN333 ; 14790 
 97 ; Полтина ; 1899 ; ( * ) ; Ag ; XF+/AU ; 43 ; оникёр ; 18260 
 98 ; Полтина. Капсула NGC ; 1914 ; (ВС) АГ ; Ag ;  ; 36 ; sax ; 19388 
 99 ; Полуполтинник ; 1752 ; ММД IШ ; Ag ; XF- ; 25 ; птичкин ; 5100 
 100 ; Полуполтинник ; 1769 ; ММД ЕI ; Ag ; XF ; 19 ; to-to ; 10302 
 1 ; Полтина. Новгородского типа. Вес-99,1г ; XIII-XIVв ;  ; Ag ;  ; 41 ; Продано в зале ; 48000 
 2 ; Полтина. Новгородского типа. Вес-100,9г ; XIII-XIVв ;  ; Ag ;  ; 23 ; trio ; 15000 
 3 ; 10 рублей. М-13,02г ; 1775 ; СПБ ТI ; Au ; AU ; 52 ; Продано в зале ; 400000 
 4 ; Рубль. М-1,25г ; 1779 ; "Для дворцового обихода" ; Au ; VF-XF ; 36 ; nik2678 ; 41588 
 5 ; 5 рублей. М-6,36г ; 1829 ; СПБ ПД ; Au ; XF ; 24 ; I.A.N ; 74999 
 6 ; 5 рублей. М-6,55г ; 1831 ; СПБ ПД ; Au ; XF ; 34 ; бриз33 ; 132702 
 7 ; 5 рублей. М-6,43г ; 1835 ; СПБ ПД ; Au ; XF ; 23 ; papinazu ; 37283 
 8 ; 5 рублей. М-6,54г ; 1860 ; СПБ ПФ ; Au ; XF ; 33 ; BerghauS ; 104889 
 9 ; 5 рублей. М-6,5г ; 1873 ; СПБ НI ; Au ; XF ; 21 ; krugerrand ; 40799 
 10 ; 5 рублей. М-6,5г ; 1874 ; СПБ НI ; Au ; XF ; 16 ; а1945 ; 36500 
 11 ; 5 рублей. М-6,53г ; 1877 ; СПБ НI ; Au ; XF- ; 43 ; sax ; 35736 
 12 ; 5 рублей. М-6,45г ; 1890 ; (АГ) ; Au ; XF+ ; 24 ; sax ; 45345 
 13 ; 10 рублей. В капсуле ННР ; 1903 ; (АР) АГ ; Au ;  ; 30 ; Isay ; 25878 
 14 ; 10 рублей. М-8,6г ; 1904 ; (АР) АГ ; Au ; XF/AU ; 18 ; пара ; 25507 
 15 ; 10 рублей. М-8,6г ; 1904 ; (АР) АГ ; Au ; AU ; 15 ; Продано в зале ; 30000 
 16 ; 5 рублей. Капсула NGC ; 1900 ; (ФЗ) ; Au ;  ; 25 ; йцукен ; 16000 
 17 ; 5 рублей. Капсула NGC ; 1901 ; (ФЗ) ; Au ;  ; 20 ; йцукен ; 15000 
 18 ; 5 рублей. Капсула NGC ; 1903 ; (АР) ; Au ;  ; 27 ; йцукен ; 16550 
 19 ; 5 рублей. Капсула NGC ; 1904 ; (АР) ; Au ;  ; 27 ; anton-monet ; 17136 
 20 ; Рубль (Петров-7р). Отчеканен на европейском талере ; 1704 ;  ; Ag ; XF ; 55 ; IRON ; 496837 
 21 ; Рубль (Петров-6р) ; 1705 ; МД ; Ag ; XF ; 37 ; Продано в зале ; 235000 
 22 ; Рубль (Петров-5р) ; 1719 ; L OK ; Ag ; XF ; 46 ; Продано в зале ; 108000 
 23 ; Рубль ; 1722 ;  ; Ag ; VF-XF ; 71 ; eastern wind ; 49980 
 24 ; Рубль ; 1722 ;  ; Ag ; XF ; 42 ; Продано в зале ; 75000 
 25 ; Рубль (Петров-5 р). Ремонт 12 часов ; 1722 ;  ; Ag ; VF ; 34 ; CaesarAugustus ; 30000 
 26 ; Рубль ; 1725 ; СПБ ; Ag ; XF- ; 48 ; Стебут ; 37808 
 27 ; Рубль ; 1725 ; СПБ ; Ag ; VF ; 63 ; Rosomaxa ; 27002 
 28 ; Рубль (Петров-15р, Ильин-8р) ; 1726 ; СПБ ; Ag ; VF ; 23 ; Продано в зале ; 75000 
 29 ; Рубль ; 1727 ;  ; Ag ; UNC ; 92 ; BA ; 241413 
 30 ; Рубль ; 1728 ;  ; Ag ; XF- ; 63 ; sax ; 44880 
 31 ; Рубль ; 1728 ;  ; Ag ; XF- ; 55 ; Ok203 ; 34639 
 32 ; Рубль ; 1729 ;  ; Ag ; XF ; 61 ; Johnny Walker ; 39970 
 33 ; Рубль (Ильин-5р). Ошибка - IМПЕРАТРNЦА ; 1732 ;  ; Ag ; VF ; 49 ; skylink ; 40000 
 34 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 27 ; Ok203 ; 18332 
 35 ; Рубль ; 1736 ;  ; Ag ; AU ; 40 ; tisa66 ; 46460 
 36 ; Рубль ; 1742 ; СПБ ; Ag ; XF- ; 42 ; 222211 ; 29988 
 37 ; Рубль ; 1742 ; СПБ ; Ag ; XF ; 20 ; пара ; 22667 
 38 ; Рубль (Петров-6р). Перечекан ; 1742 ; ММД ; Ag ; VF-XF ; 46 ; Продано в зале ; 70000 
 39 ; Рубль ; 1752 ; ММД IШ ; Ag ; VF ; 30 ; Продано в зале ; 15000 
 40 ; Рубль (Петров-3р) ; 1756 ; СПБ IM BS ; Ag ; XF- ; 44 ; Продано в зале ; 55000 
 41 ; Рубль (Петров-3р) ; 1756 ; СПБ IM BS ; Ag ; XF ; 17 ; Mollo ; 32020 
 42 ; Рубль (Петров-3,5р) ; 1759 ; СПБ ЯI TI ; Ag ; VF-XF ; 9 ; to-to ; 65000 
 43 ; Рубль (Петров-3р) ; 1762 ; ММД ДМ ; Ag ; VF-XF ; 26 ; sax ; 68340 
 44 ; Рубль ; 1762 ; ММД ДМ ; Ag ; VF-XF ; 57 ; 111111 ; 67388 
 45 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; XF ; 11 ; Продано в зале ; 21000 
 46 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; XF ; 10 ; A-antik ; 22000 
 47 ; Рубль (Петров-3р) ; 1767 ; ММД EI ; Ag ; XF- ; 22 ; papinazu ; 25490 
 48 ; Рубль ; 1771 ; СПБ ЯЧ TI ; Ag ; XF+ ; 15 ; а1945 ; 29600 
 49 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; XF+ ; 15 ; а1945 ; 28560 
 50 ; Рубль ; 1782 ; СПБ ИЗ ; Ag ; XF ; 43 ; Стебут ; 24291 
 4829 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 24 ; Майкл ; 276 
 4830 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 61 ; Майкл ; 90 
 4831 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 31 ; Майкл ; 176 
 4832 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 26 ; Майкл ; 189 
 4833 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 39 ; von_Schwarz ; 237 
 4834 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 20 ; smel ; 101 
 4835 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 59 ; Майкл ; 174 
 4836 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 19 ; Майкл ; 53 
 4837 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 32 ; smel ; 51 
 4838 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 9 ; Хакас ; 174 
 4839 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 58 ; Хакас ; 542 
 4840 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 21 ; rem16 ; 49 
 4841 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 37 ; smel ; 116 
 4842 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 47 ; smel ; 98 
 4843 ; Бона иностранная.Германия.Нотгелд 6 шт. ;  ;  ;  ;  ; 29 ; smel ; 79 
 4844 ; Бона иностранная.Германия.Нотгелд 5 шт. ;  ;  ;  ;  ; 29 ; Hedeby ; 81 
 4845 ; Бона иностранная.Германия.Нотгелд 5 шт. ;  ;  ;  ;  ; 20 ; dases ; 170 
 4846 ; Бона иностранная.Германия.Нотгелд 5 шт. ;  ;  ;  ;  ; 14 ; Скрудж ; 157 
 4847 ; Бона иностранная.Германия.Нотгелд 6 шт. ;  ;  ;  ;  ; 24 ; Скрудж ; 128 
 4848 ; Бона иностранная.Германия.Нотгелд 5 шт. ;  ;  ;  ;  ; 23 ; Скрудж ; 128 
 4849 ; Бона иностранная.Германия.Нотгелд 5 шт. ;  ;  ;  ;  ; 12 ; BAG ; 181 
 4691 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Приор ; 102 
 4692 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 28 
 4693 ; Бона иностранная ;  ;  ;  ;  ; 2 ; я8844 ; 28 
 4694 ; Бона иностранная ;  ;  ;  ;  ; 94 ; Хакас ; 155 
 4695 ; Бона иностранная ;  ;  ;  ;  ; 1 ; у44 ; 30 
 4696 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Приор ; 82 
 4697 ; Бона иностранная ;  ;  ;  ;  ; 38 ; Woker ; 105 
 4698 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Woker ; 29 
 4699 ; Бона иностранная ;  ;  ;  ;  ; 86 ; elion3 ; 126 
 4700 ; Бона иностранная ;  ;  ;  ;  ; 43 ; vladimir-sirke ; 102 
 4701 ; Бона иностранная ;  ;  ;  ;  ; 3 ; elion3 ; 32 
 4702 ; Бона иностранная ;  ;  ;  ;  ; 2 ; я8844 ; 31 
 4703 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Woker ; 69 
 4704 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ъхз ; 102 
 4705 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Gera_K ; 31 
 4706 ; Бона иностранная ;  ;  ;  ;  ; 35 ; ИЮМов1 ; 142 
 4707 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 11000 ; 74 
 4708 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Gera_K ; 360 
 4709 ; Бона иностранная ;  ;  ;  ;  ; 2 ; я8844 ; 49 
 4710 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Хакас ; 38 
 4711 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 30 
 4712 ; Бона иностранная ;  ;  ;  ;  ; 2 ; maytik ; 51 
 4801 ; Бона иностранная.Дания.5 крон. ; 1942 ;  ;  ;  ; 53 ; filat100 ; 510 
 4802 ; Бона иностранная.Дания.10 крон. ; 1936 ;  ;  ;  ; 62 ; ИЮМов1 ; 341 
 4803 ; Бона иностранная.Германия.Бавария.100 марок. ; 1900 ;  ;  ;  ; 109 ; sergey2100 ; 560 
 4804 ; Бона иностранная.Германия.Саксония.500 марок. ; 1911 ;  ;  ;  ; 99 ; sergey2100 ; 561 
 4805 ; Бона иностранная.Германия.Саксония.100 марок. ; 1911 ;  ;  ;  ; 139 ; sergey2100 ; 634 
 4806 ; Бона иностранная.Германия.50000 марок. ; 1922 ;  ;  ;  ; 66 ; 1gold ; 110 
 4807 ; Бона иностранная.Германия.500 миллионов марок. ; 1923 ;  ;  ;  ; 27 ; kostik_ne ; 75 
 4808 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 55 ; smel ; 148 
 4809 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 19 ; smel ; 110 
 4810 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 65 ; sikachai ; 129 
 4811 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 24 ; smel ; 110 
 4812 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 15 ; smel ; 91 
 4813 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 21 ; smel ; 75 
 4814 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 16 ; Улетный ; 61 
 4815 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 29 ; smel ; 99 
 4816 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 2 ; 11000 ; 38 
 4817 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 19 ; smel ; 99 
 4818 ; Бона иностранная.Германия.Нотгелд на ткани. ;  ;  ;  ;  ; 89 ; Хакас ; 910 
 4819 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 4 ; 11000 ; 50 
 4820 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 37 ; smel ; 104 
 4821 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 23 ; smel ; 204 
 4822 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 39 ; Майкл ; 181 
 4823 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 21 ; smel ; 99 
 4824 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 9 ; smel ; 101 
 4825 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 18 ; Майкл ; 181 
 4826 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 17 ; smel ; 101 
 4827 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 3 ; 654321 ; 40 
 4828 ; Бона иностранная.Германия.Нотгелд. ;  ;  ;  ;  ; 27 ; Майкл ; 276 
 4641 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 11000 ; 39 
 4642 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 11000 ; 39 
 4643 ; Бона иностранная ;  ;  ;  ;  ; 18 ; smel ; 40 
 4644 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 39 
 4645 ; Бона иностранная ;  ;  ;  ;  ; 65 ; makcpeyn100 ; 80 
 4646 ; Бона иностранная ;  ;  ;  ;  ; 3 ; smel ; 40 
 4647 ; Бона иностранная ;  ;  ;  ;  ; 3 ; smel ; 40 
 4648 ; Бона иностранная ;  ;  ;  ;  ; 3 ; smel ; 40 
 4649 ; Бона иностранная ;  ;  ;  ;  ; 3 ; smel ; 40 
 4650 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 11000 ; 39 
 4651 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 39 
 4652 ; Бона иностранная ;  ;  ;  ;  ; 3 ; smel ; 40 
 4653 ; Бона иностранная ;  ;  ;  ;  ; 3 ; smel ; 40 
 4654 ; Бона иностранная ;  ;  ;  ;  ; 4 ; smel ; 40 
 4655 ; Бона иностранная ;  ;  ;  ;  ; 3 ; jj ; 36 
 4656 ; Бона иностранная ;  ;  ;  ;  ; 5 ; max2008 ; 60 
 4657 ; Бона иностранная ;  ;  ;  ;  ; 11 ; max2008 ; 50 
 4658 ; Бона иностранная ;  ;  ;  ;  ; 76 ; tars7777 ; 101 
 4659 ; Бона иностранная ;  ;  ;  ;  ; 7 ; tars7777 ; 101 
 4660 ; Бона иностранная ;  ;  ;  ;  ; 23 ; smel ; 70 
 4661 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 39 
 4662 ; Бона иностранная ;  ;  ;  ;  ; 15 ; max2008 ; 76 
 4663 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 39 
 4664 ; Бона иностранная ;  ;  ;  ;  ; 7 ; rem16 ; 40 
 4665 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 11000 ; 39 
 4666 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 11000 ; 34 
 4667 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 29 
 4668 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ИЮМов1 ; 179 
 4669 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 40 
 4670 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 35 
 4671 ; Бона иностранная ;  ;  ;  ;  ; 7 ; dases ; 40 
 4672 ; Бона иностранная ;  ;  ;  ;  ; 104 ; ML ; 188 
 4673 ; Бона иностранная ;  ;  ;  ;  ; 35 ; ML ; 60 
 4674 ; Бона иностранная ;  ;  ;  ;  ; 37 ; von_Schwarz ; 169 
 4675 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Улетный ; 40 
 4676 ; Бона иностранная ;  ;  ;  ;  ; 27 ; ML ; 80 
 4677 ; Бона иностранная ;  ;  ;  ;  ; 31 ; ИЮМов1 ; 213 
 4678 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Улетный ; 40 
 4679 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Улетный ; 51 
 4680 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Улетный ; 41 
 4681 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Gera_K ; 40 
 4682 ; Бона иностранная ;  ;  ;  ;  ; 23 ; mirumir ; 199 
 4683 ; Бона иностранная ;  ;  ;  ;  ; 74 ; Хакас ; 117 
 4684 ; Бона иностранная ;  ;  ;  ;  ; 6 ; teemu ; 30 
 4685 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 34 
 4686 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 34 
 4687 ; Бона иностранная ;  ;  ;  ;  ; 37 ; Хакас ; 377 
 4688 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Gera_K ; 32 
 4689 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Gera_K ; 227 
 4690 ; Бона иностранная ;  ;  ;  ;  ; 2 ; у44 ; 29 
 4591 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 11000 ; 39 
 4592 ; Бона иностранная ;  ;  ;  ;  ; 15 ; rem16 ; 59 
 4593 ; Бона иностранная ;  ;  ;  ;  ; 40 ; Улетный ; 41 
 4594 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 34 
 4595 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 34 
 4596 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 39 
 4597 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 11000 ; 39 
 4598 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4599 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 39 
 4600 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Hedeby ; 41 
 4601 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 11000 ; 39 
 4602 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 39 
 4603 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 39 
 4604 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 39 
 4605 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 39 
 4606 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 39 
 4607 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 11000 ; 39 
 4608 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 11000 ; 39 
 4609 ; Бона иностранная ;  ;  ;  ;  ; 3 ; АлекS ; 40 
 4610 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4611 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4612 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4613 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4614 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4615 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 36 
 4616 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ъхз ; 38 
 4617 ; Бона иностранная ;  ;  ;  ;  ; 4 ; smel ; 40 
 4618 ; Бона иностранная ;  ;  ;  ;  ; 3 ; sos1 ; 40 
 4619 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 11000 ; 39 
 4620 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 11000 ; 39 
 4621 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 11000 ; 39 
 4622 ; Бона иностранная ;  ;  ;  ;  ; 82 ; АлекS ; 155 
 4623 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4624 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4625 ; Бона иностранная ;  ;  ;  ;  ; 6 ; карпер ; 50 
