 1153 ; Медаль "Преуспевающему". Для выпускников мужских гимназий. М-24,76г. D-32мм ;  ;  ; Au ; XF+ ; 7 ; Продано в зале ; 82500 
 78 ; 5 копеек ; 1776 ; КМ "Сибирь" ; Cu ; XF ; 28 ; Продано в зале ; 9500 
 79 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF ; 38 ; Продано в зале ; 11000 
 80 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF-XF ; 24 ; Продано в зале ; 9500 
 81 ; 5 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 11 ; Продано в зале ; 5000 
 82 ; 5 копеек (Петров-10р) ; 1781 ; КМ ; Cu ; XF ; 31 ; Продано в зале ; 24000 
 83 ; 5 копеек ; 1788 ; ММ ; Cu ; VF+ ; 23 ; Продано в зале ; 12000 
 84 ; 5 копеек (Петров-8р, Ильин-5р) ; 1791 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 49 ; Продано в зале ; 35000 
 85 ; 5 копеек (Петров-2р, Ильин-1р) ; 1804 ; КМ ; Cu ; VF-XF ; 19 ; 550055 ; 5000 
 86 ; 5 копеек ; 1868 ; ЕМ ; Cu ; XF ; 31 ; Продано в зале ; 3400 
 87 ; 5 копеек ; 1875 ; ЕМ ; Cu ; XF- ; 11 ; crackjack ; 2800 
 88 ; 3 копейки ; 1842 ; СПМ ; Cu ; VF+ ; 28 ; Продано в зале ; 5500 
 89 ; 3 копейки ; 1874 ; ЕМ ; Cu ; XF- ; 27 ; Продано в зале ; 2200 
 90 ; 3 копейки ; 1903 ; СПБ ; Cu ; AU ; 13 ; Продано в зале ; 5200 
 91 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF-XF ; 29 ; _kit ; 4548 
 92 ; 2 копейки ; 1762 ;  ; Cu ; VF ; 29 ; Продано в зале ; 24000 
 93 ; 2 копейки ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 54 ; Продано в зале ; 5200 
 94 ; 2 копейки ; 1777 ; КМ "Сибирь" ; Cu ; VF-XF ; 45 ; Продано в зале ; 11500 
 95 ; 2 копейки ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 19 ; OMT ; 3500 
 96 ; 2 копейки ; 1780 ; КМ "Сибирь" ; Cu ; VF-XF ; 55 ; Продано в зале ; 13500 
 97 ; 2 копейки ; 1879 ; СПБ ; Cu ; XF ; 39 ; verunk1 ; 2000 
 98 ; 2 копейки ; 1883 ; СПБ ; Cu ; XF ; 21 ; Продано в зале ; 2600 
 99 ; Копейка ; 1705 ; МД ; Cu ; VF+ ; 39 ; vvr ; 2607 
 100 ; Копейка ; 1707 ; МД ; Cu ; VF ; 26 ; Продано в зале ; 1600 
 1 ; Полтина. Новгород. L-57мм. М-94,03гр ; XII-XIII вв ;  ; Ag ;  ; 35 ; нумизмат ; 17000 
 2 ; Денга ; 1420-1478 ; Великий Новгород ; Ag ; XF+ ; 102 ; 67 ; 19141 
 3 ; 5 рублей. М-6,45гр ; 1889 ; (АГ) Борода короче ; Au ; AU ; 47 ; 496 ; 40545 
 4 ; Рубль (Петров-5р) ; 1718 ; OK ; Ag ; VF+ ; 34 ; Продано в зале ; 54000 
 5 ; Рубль (Петров-4р) ; 1721 ;  ; Ag ; XF- ; 57 ; Продано в зале ; 62000 
 6 ; Рубль (Петров-6р) ; 1724 ; СПБ ; Ag ; VF+ ; 28 ; Продано в зале ; 76000 
 7 ; Рубль (Петров-5р) ; 1724 ; СПБ ; Ag ; VF+ ; 51 ; 25 ; 90000 
 8 ; Рубль (Петров-7р) ; 1725 ; СПБ ; Ag ; VF ; 22 ; 25 ; 55000 
 9 ; Рубль (Петров-3р). Надпилы гурта - 12 часов ; 1727 ;  ; Ag ; VF-XF ; 35 ; Продано в зале ; 46000 
 10 ; Рубль ; 1728 ;  ; Ag ; VF-XF ; 26 ; Продано в зале ; 34000 
 11 ; Рубль ; 1736 ;  ; Ag ; XF- ; 15 ; timan777 ; 32000 
 12 ; Рубль ; 1738 ; СПБ ; Ag ; VF-XF ; 15 ; skylink ; 15702 
 13 ; Рубль ; 1751 ; СПБ ; Ag ; VF-XF ; 15 ; timan777 ; 18360 
 14 ; Рубль ; 1751 ; ММД ; Ag ; VF+ ; 15 ; ZOLTAN333 ; 15086 
 15 ; Рубль ; 1756 ; СПБ IM BS ; Ag ; VF-XF ; 35 ; Продано в зале ; 19500 
 16 ; Рубль (Петров-5р) ; 1757 ; ММД МБ ; Ag ; XF ; 19 ; timan777 ; 40800 
 17 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; XF+ ; 22 ; Продано в зале ; 22000 
 18 ; Рубль ; 1777 ; СПБ ФЛ ; Ag ; VF-XF ; 15 ; Продано в зале ; 22000 
 19 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; XF- ; 17 ; Лаврентий ; 18462 
 20 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF+ ; 37 ; Продано в зале ; 25000 
 21 ; Рубль ; 1786 ; СПБ ЯА TI ; Ag ; VF+ ; 23 ; Продано в зале ; 23000 
 22 ; Рубль ; 1800 ; СМ ОМ ; Ag ; VF+ ; 34 ; ANK ; 22000 
 23 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF ; 7 ; ZOLTAN333 ; 9500 
 24 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; AU/XF ; 53 ; Продано в зале ; 65000 
 25 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF+ ; 22 ; 496 ; 7500 
 26 ; Рубль (Петров-3р) ; 1858 ; СПБ ФБ ; Ag ; Proof-Like ; 29 ; Продано в зале ; 78000 
 27 ; Рубль ; 1896 ; ( * ) ; Ag ; XF+ ; 60 ; Продано в зале ; 9000 
 28 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF- ; 16 ; Продано в зале ; 5500 
 29 ; Рубль ; 1912 ; (ЭБ) На открытие памятника Александру III ; Ag ; AU ; 25 ; Продано в зале ; 500000 
 30 ; Полтина (Петров-5р) ; 1705 ;  ; Ag ; XF ; 36 ; Продано в зале ; 102000 
 31 ; Полтина (Петров-5р) ; 1705 ;  ; Ag ; VF ; 74 ; Алексей Викторович ; 70052 
 32 ; Полтина (Петров-3,5р) ; 1723 ;  ; Ag ; VF+ ; 25 ; Продано в зале ; 36000 
 33 ; Полтина (Петров-3,5р, Ильин-4р) ; 1751 ; СПБ ; Ag ; VF+ ; 21 ; Лаврентий ; 25500 
 34 ; Полтина (Петров-2,5р) ; 1798 ; СМ МБ ; Ag ; VF+ ; 28 ; Лаврентий ; 33150 
 35 ; Полуполтинник ; 1739-1740 ;  ; Ag ; VF- ; 12 ; Продано в зале ; 19000 
 36 ; Полуполтинник ; 1747 ; ММД ; Ag ; VF+ ; 7 ; Fedor_K ; 9000 
 37 ; Полуполтинник ; 1792 ; СПБ ЯА ; Ag ; AU ; 26 ; нумизмат ; 17000 
 38 ; Полуполтинник (Петров-1,5р) ; 1798 ; СМ МБ ; Ag ; XF ; 46 ; Лаврентий ; 32640 
 39 ; 25 копеек ; 1835 ; СПБ НГ ; Ag ; XF+ ; 37 ; Продано в зале ; 22000 
 40 ; 20 копеек (Петров-1р) ; 1766 ; ММД ; Ag ; VF-XF ; 11 ; Fedor_K ; 10200 
 41 ; 20 копеек ; 1784 ; СПБ ; Ag ; VF-XF ; 31 ; 550 ; 8160 
 42 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; VF-XF ; 20 ; Продано в зале ; 1800 
 43 ; 20 копеек-40 грошей ; 1850 ; MW Рус.-Пол. ; Ag ; VF-XF ; 36 ; Продано в зале ; 13000 
 44 ; 20 копеек ; 1854 ; СПБ HI ; Ag ; AU/XF ; 27 ; Продано в зале ; 17000 
 45 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 8 ; pmaster ; 801 
 46 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 5 ; dimon46 ; 680 
 47 ; 20 копеек ; 1866 ; СПБ HI ; Ag ; AU ; 26 ; verunk1 ; 3000 
 48 ; 20 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 5 ; Продано в зале ; 1200 
 49 ; 20 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 18 ; verunk1 ; 6324 
 50 ; 10 копеек ; 1899 ; СПБ ЭБ ; Ag ; AU ; 17 ; Продано в зале ; 7500 
 4667 ; Бона иностранная ;  ;  ;  ;  ; 34 ; Manager ; 169 
 4668 ; Бона иностранная ;  ;  ;  ;  ; 38 ; Gera_K ; 174 
 4669 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Manager ; 120 
 4670 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Manager ; 169 
 4671 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Manager ; 60 
 4672 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Manager ; 60 
 4617 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Слепок ; 107 
 4618 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Слепок ; 147 
 4619 ; Бона иностранная ;  ;  ;  ;  ; 48 ; Слепок ; 314 
 4620 ; Бона иностранная ;  ;  ;  ;  ; 44 ; sikachai ; 51 
 4621 ; Бона иностранная ;  ;  ;  ;  ; 38 ; sikachai ; 117 
 4622 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 29 
 4623 ; Бона иностранная ;  ;  ;  ;  ; 3 ; KMTKMP ; 30 
 4624 ; Бона иностранная ;  ;  ;  ;  ; 3 ; hr-kot ; 30 
 4625 ; Бона иностранная ;  ;  ;  ;  ; 3 ; hr-kot ; 30 
 4626 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Gera_K ; 31 
 4627 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Gera_K ; 31 
 4628 ; Бона иностранная ;  ;  ;  ;  ; 13 ; sikachai ; 132 
 4629 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Gera_K ; 31 
 4630 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Woker ; 64 
 4631 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4632 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4633 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4634 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4635 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4636 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4637 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Manager ; 41 
 4638 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Manager ; 41 
 4639 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Manager ; 41 
 4640 ; Бона иностранная ;  ;  ;  ;  ; 50 ; Woker ; 153 
 4641 ; Бона иностранная ;  ;  ;  ;  ; 31 ; alko25 ; 87 
 4642 ; Бона иностранная ;  ;  ;  ;  ; 6 ; alko25 ; 43 
 4643 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alko25 ; 41 
 4644 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 22 
 4645 ; Бона иностранная ;  ;  ;  ;  ; 8 ; alko25 ; 36 
 4646 ; Бона иностранная ;  ;  ;  ;  ; 3 ; alko25 ; 31 
 4647 ; Бона иностранная ;  ;  ;  ;  ; 31 ; sos1 ; 93 
 4648 ; Бона иностранная ;  ;  ;  ;  ; 3 ; alko25 ; 31 
 4649 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 11000 ; 30 
 4650 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 51 
 4651 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4652 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4653 ; Бона иностранная ;  ;  ;  ;  ; 16 ; карпер ; 70 
 4654 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4655 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 31 
 4656 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ек ; 30 
 4657 ; Бона иностранная ;  ;  ;  ;  ; 13 ; sikachai ; 100 
 4658 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ъхз ; 65 
 4659 ; Бона иностранная ;  ;  ;  ;  ; 2 ; каламбурчик ; 40 
 4660 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Woker ; 30 
 4661 ; Бона иностранная ;  ;  ;  ;  ; 18 ; smel ; 45 
 4662 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Майкл ; 150 
 4663 ; Бона иностранная ;  ;  ;  ;  ; 3 ; trigl ; 102 
 4664 ; Бона иностранная ;  ;  ;  ;  ; 6 ; у44 ; 35 
 4665 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 36 
 4666 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Gera_K ; 60 
 4567 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Слепок ; 57 
 4568 ; Бона иностранная ;  ;  ;  ;  ; 3 ; and1972 ; 31 
 4569 ; Бона иностранная ;  ;  ;  ;  ; 18 ; ек ; 50 
 4570 ; Бона иностранная ;  ;  ;  ;  ; 7 ; vladzory ; 62 
 4571 ; Бона иностранная ;  ;  ;  ;  ; 23 ; vladzory ; 51 
 4572 ; Бона иностранная ;  ;  ;  ;  ; 25 ; каламбурчик ; 57 
 4573 ; Бона иностранная ;  ;  ;  ;  ; 27 ; vladzory ; 50 
 4574 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ИЮМов1 ; 99 
 4575 ; Бона иностранная ;  ;  ;  ;  ; 28 ; cochu ; 69 
 4576 ; Бона иностранная ;  ;  ;  ;  ; 2 ; каламбурчик ; 30 
 4577 ; Бона иностранная ;  ;  ;  ;  ; 18 ; vladimir-sirke ; 101 
 4578 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ИЮМов1 ; 99 
 4579 ; Бона иностранная ;  ;  ;  ;  ; 4 ; каламбурчик ; 24 
 4580 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Gera_K ; 57 
 4581 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 39 
 4582 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 39 
 4583 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4584 ; Бона иностранная ;  ;  ;  ;  ; 34 ; Слепок ; 102 
 4585 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 25 
 4586 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 25 
 4587 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 25 
 4588 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 25 
 4589 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 25 
 4590 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 27 
 4591 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Слепок ; 70 
 4592 ; Бона иностранная ;  ;  ;  ;  ; 3 ; каламбурчик ; 30 
 4593 ; Бона иностранная ;  ;  ;  ;  ; 2 ; у44 ; 30 
 4594 ; Бона иностранная ;  ;  ;  ;  ; 2 ; hr-kot ; 31 
 4595 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4596 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4597 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4598 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4599 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4600 ; Бона иностранная ;  ;  ;  ;  ; 3 ; каламбурчик ; 45 
 4601 ; Бона иностранная ;  ;  ;  ;  ; 2 ; каламбурчик ; 36 
 4602 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Woker ; 47 
 4603 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 35 
 4604 ; Бона иностранная ;  ;  ;  ;  ; 49 ; Василевс ; 113 
 4605 ; Бона иностранная ;  ;  ;  ;  ; 49 ; Василевс ; 113 
 4606 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Василевс ; 48 
 4607 ; Бона иностранная ;  ;  ;  ;  ; 52 ; Василевс ; 132 
 4608 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Василевс ; 114 
 4609 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 29 
 4610 ; Бона иностранная ;  ;  ;  ;  ; 6 ; каламбурчик ; 30 
 4611 ; Бона иностранная ;  ;  ;  ;  ; 3 ; and1972 ; 26 
 4612 ; Бона иностранная ;  ;  ;  ;  ; 2 ; KYZIA ; 51 
 4613 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Manager ; 30 
 4614 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Gera_K ; 101 
 4615 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Слепок ; 109 
 4616 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Слепок ; 109 
 4517 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ек ; 30 
 4518 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 35 
 4519 ; Бона иностранная ;  ;  ;  ;  ; 3 ; alko25 ; 31 
 4520 ; Бона иностранная ;  ;  ;  ;  ; 8 ; alko25 ; 36 
 4521 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 11000 ; 30 
 4522 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 36 
 4523 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 35 
 4524 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4525 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 35 
 4526 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 35 
 4527 ; Бона иностранная ;  ;  ;  ;  ; 13 ; alko25 ; 62 
 4528 ; Бона иностранная ;  ;  ;  ;  ; 15 ; карпер ; 57 
 4529 ; Бона иностранная ;  ;  ;  ;  ; 10 ; карпер ; 50 
 4530 ; Бона иностранная ;  ;  ;  ;  ; 10 ; карпер ; 50 
 4531 ; Бона иностранная ;  ;  ;  ;  ; 13 ; карпер ; 59 
 4532 ; Бона иностранная ;  ;  ;  ;  ; 20 ; карпер ; 74 
 4533 ; Бона иностранная ;  ;  ;  ;  ; 12 ; карпер ; 61 
 4534 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4535 ; Бона иностранная ;  ;  ;  ;  ; 3 ; alko25 ; 31 
 4536 ; Бона иностранная ;  ;  ;  ;  ; 3 ; alko25 ; 31 
 4537 ; Бона иностранная ;  ;  ;  ;  ; 2 ; alko25 ; 31 
 4538 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4539 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4540 ; Бона иностранная ;  ;  ;  ;  ; 6 ; сс400 ; 59 
 4541 ; Бона иностранная ;  ;  ;  ;  ; 3 ; KYZIA ; 31 
 4542 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 11000 ; 30 
 4543 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Gera_K ; 38 
 4544 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 555650 ; 42 
 4545 ; Бона иностранная ;  ;  ;  ;  ; 6 ; and1972 ; 25 
 4546 ; Бона иностранная ;  ;  ;  ;  ; 43 ; cochu ; 114 
 4547 ; Бона иностранная ;  ;  ;  ;  ; 21 ; cochu ; 101 
 4548 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Gera_K ; 86 
 4549 ; Бона иностранная ;  ;  ;  ;  ; 13 ; cochu ; 69 
 4550 ; Бона иностранная ;  ;  ;  ;  ; 56 ; cochu ; 204 
 4551 ; Бона иностранная ;  ;  ;  ;  ; 48 ; cochu ; 75 
 4552 ; Бона иностранная ;  ;  ;  ;  ; 70 ; Слепок ; 114 
 4553 ; Бона иностранная ;  ;  ;  ;  ; 15 ; cochu ; 79 
 4554 ; Бона иностранная ;  ;  ;  ;  ; 55 ; Слепок ; 83 
 4555 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Слепок ; 85 
 4556 ; Бона иностранная ;  ;  ;  ;  ; 20 ; cochu ; 79 
 4557 ; Бона иностранная ;  ;  ;  ;  ; 17 ; cochu ; 132 
 4558 ; Бона иностранная ;  ;  ;  ;  ; 34 ; vladzory ; 70 
 4559 ; Бона иностранная ;  ;  ;  ;  ; 23 ; cochu ; 85 
 4560 ; Бона иностранная ;  ;  ;  ;  ; 25 ; cochu ; 114 
 4561 ; Бона иностранная ;  ;  ;  ;  ; 19 ; cochu ; 142 
 4562 ; Бона иностранная ;  ;  ;  ;  ; 27 ; cochu ; 114 
 4563 ; Бона иностранная ;  ;  ;  ;  ; 3 ; rem16 ; 31 
 4564 ; Бона иностранная ;  ;  ;  ;  ; 5 ; каламбурчик ; 25 
 4565 ; Бона иностранная ;  ;  ;  ;  ; 8 ; vladzory ; 51 
 4566 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 35 
 4309 ; 20 копеек. Лагери особого назначения. Расчетная квмтанция ; 1929 ;  ;  ; F- ; 27 ; sergey2100 ; 4082 
 4310 ; 5 копеек. Лагери особого назначения. Расчетная квмтанция ; 1929 ;  ;  ; VF- ; 28 ; sergey2100 ; 5612 
 4311 ; Лот из 2-х государственных кредитных билетов: 500 и 100 руб (2шт) ; 1910,1912 ;  ;  ; VG+/F+ ; 23 ; kalan ; 216 
 4312 ; 500 крон. Чехословакия ; 1944 ;  ;  ; AU ; 31 ; нумизмат ; 261 
 4313 ; 100 динаров. Сербия ; 1941 ;  ;  ; VF- ; 31 ; sikachai ; 91 
 4314 ; Лот краткосрочных обязательств Гос.Казначейства: 25 руб (6шт) ;  ;  ;  ; XF-/VF- ; 47 ; koga ; 306 
 4315 ; Лот краткосрочных обязательств Гос.Казначейства: 25 руб (6шт) ;  ;  ;  ; XF-/VF- ; 49 ; koga ; 172 
 4316 ; Лот краткосрочных обязательств Гос.Казначейства: 25 руб (7шт) ;  ;  ;  ; XF-/VF- ; 111 ; koga ; 235 
 4317 ; Лот краткосрочных обязательств Гос.Казначейства: 50 руб (4шт) ;  ;  ;  ; VF/F ; 30 ; koga ; 172 
 4318 ; 1 рубль ; 1920 ; Денежный знак Дальне-Восточной республики ;  ; AU ; 86 ; Vb[fksx ; 1726 
 4319 ; 3 рубля ; 1920 ; Денежный знак Дальне-Восточной республики ;  ; AU ; 82 ; SANGOLD1 ; 1546 
 4320 ; 5 рублей ; 1920 ; Денежный знак Дальне-Восточной республикиДенежный знак Дальне-Восточной республики ;  ; AU ; 81 ; armadavls ; 1515 
 4321 ; 10 рублей ; 1920 ; Денежный знак Дальне-Восточной республики ;  ; XF+ ; 56 ; armadavls ; 528 
 4322 ; 500 рублей. Эриванское отделение государственного банка ; 1919 ;  ;  ; XF- ; 44 ; torus72 ; 693 
 4323 ; Лот государственных кредитных билетов: 3 рубля (7шт) ; 1905 ;  ;  ; F/XF ; 59 ; rem16 ; 219 
 4324 ; 25 рублей ; 1918 ; без подписей Гос.кредитные билеты(не выпущены) ;  ; VF ; 85 ; sergey2100 ; 1551 
 4325 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; F+ ; 16 ; puhetd ; 96 
 4326 ; 1 рубль. Б.-Уткинского ; 1920 ;  ;  ; XF ; 5 ; oleg61 ; 663 
 4327 ; 5 копеек ;  ;  ;  ; XF- ; 12 ; Manager ; 78 
 4328 ; 1 фунт. Египет ;  ;  ;  ; AU ; 7 ; fox666lk ; 24 
 4329 ; Лот бон Египта: 10 пиастров (2шт) ;  ;  ;  ; AU ; 22 ; Manager ; 45 
 4330 ; Лот бон Египта: 5 пиастров (2шт) ;  ;  ;  ; AU ; 13 ; Manager ; 45 
 4331 ; 100 франков. Руанда ; 1989 ;  ;  ; AU ; 65 ; Manager ; 82 
 4332 ; 5 руфий. Мальдивы ; 2000 ;  ;  ; AU ; 20 ; Woker ; 123 
