 1365 ; 10 копеек, в капсуле PCGS ; 1958 ;  ; Cu-Ni ; MS62 ; 18 ; to-to ; 69000 
 1133 ; 10 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 3 ; prince1959 ; 5202 
 1134 ; 10 копеек ; 1895 ; СПБ АГ ; Ag ; XF ; 23 ; Продано в зале ; 7400 
 1135 ; 10 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 0 ; Не продан ; 0 
 1136 ; 10 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 0 ; Не продан ; 0 
 1137 ; 5 копеек ; 1798 ; СМ МБ ; Ag ; VF-XF ; 19 ; Продано в зале ; 20000 
 1138 ; 5 копеек ; 1801 ; СМ АИ ; Ag ; VF-XF ; 15 ; to-to ; 17500 
 1139 ; 5 копеек ; 1844 ; СПБ КБ ; Ag ; AU ; 5 ; verunk1 ; 12000 
 1140 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; AU ; 1 ; бибигон ; 6000 
 1141 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 1 ; Продано в зале ; 48000 
 1042 ; Рубль ( Петров-6 руб.) ; 1761 ; СПБ НК TI ; Ag ; VF-XF ; 12 ; Продано в зале ; 75000 
 1043 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; XF- ; 9 ; черный ; 20427 
 1044 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; XF- ; 3 ; черный ; 15606 
 1045 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; XF+ ; 7 ; Продано в зале ; 29000 
 1046 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; XF ; 8 ; раритет ; 24990 
 1047 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF+ ; 3 ; черный ; 20400 
 1048 ; Рубль ; 1771 ; СПБ ЯЧ TI ; Ag ; XF- ; 0 ; Не продан ; 0 
 1049 ; Рубль ; 1773 ; СПБ QЛ TИ ; Ag ; XF- ; 0 ; Продано в зале ; 15000 
 1050 ; Рубль ; 1779 ; СПБ ФЛ ; Ag ; XF ; 1 ; попандопуло ; 30000 
 1051 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF+ ; 10 ; Продано в зале ; 26000 
 1052 ; Рубль ; 1781 ; СПБ ИЗ ; Ag ; XF ; 7 ; нумизмат ; 27540 
 1053 ; Рубль ; 1782 ; СПБ ИЗ ; Ag ; XF ; 8 ; sax ; 22551 
 1054 ; Рубль ; 1783 ; СПБ ИЗ TI ; Ag ; XF ; 15 ; нумизмат ; 34000 
 1055 ; Рубль ; 1797 ; СМ ФЦ ; Ag ; XF- ; 5 ; aureo2 ; 250001 
 1056 ; Рубль ; 1799 ; СМ МБ ; Ag ; VF-XF ; 18 ; Продано в зале ; 25000 
 1057 ; Рубль ; 1819 ; СПБ ПС ; Ag ; AU/XF ; 1 ; П00Г ; 38000 
 1058 ; Рубль ; 1832 ; СПБ НГ ; Ag ; AU/XF+ ; 1 ; Продано в зале ; 48000 
 1059 ; Рубль ; 1840 ; СПБ НГ ; Ag ; XF+ ; 2 ; Karhu ; 18360 
 1060 ; Рубль ; 1845 ; СПБ КБ ; Ag ; XF ; 10 ; Продано в зале ; 19000 
 1061 ; Рубль ; 1848 ; СПБ HI ; Ag ; AU/XF ; 1 ; П00Г ; 25000 
 1062 ; Рубль ; 1850 ; СПБ ПА ; Ag ; XF+ ; 1 ; П00Г ; 20000 
 1063 ; Рубль ; 1874 ; СПБ HI ; Ag ; XF- ; 7 ; Продано в зале ; 25000 
 1064 ; Рубль ; 1875 ; СПБ HI ; Ag ; XF- ; 1 ; нумизмат ; 20000 
 1065 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 16 ; Питер ; 45900 
 1066 ; Рубль ; 1886 ; (АГ) ; Ag ; XF+ ; 7 ; Продано в зале ; 58000 
 1067 ; Рубль ; 1892 ; (АГ) ; Ag ; AU ; 20 ; Продано в зале ; 120000 
 1068 ; Рубль ; 1894 ; (АГ) ; Ag ; XF/AU ; 13 ; Д.Ю. ; 64550 
 1069 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF ; 8 ; Z,kjrj2015 ; 35374 
 1070 ; Рубль ; 1897 ; ( ** ) ; Ag ; AU ; 8 ; Продано в зале ; 28000 
 1071 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF+ ; 18 ; int1965708 ; 174267 
 1072 ; Рубль ; 1910 ; (ЭБ) ; Ag ; XF- ; 2 ; П00Г ; 38000 
 1073 ; Рубль ; 1911 ; (ЭБ) ; Ag ; XF/AU ; 1 ; sheff78 ; 48000 
 1074 ; Рубль ; 1911 ; (ЭБ) ; Ag ; XF ; 1 ; П00Г ; 25000 
 1075 ; Рубль (Размытый рельеф) ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF/AU ; 4 ; 8128 ; 19380 
 1076 ; Рубль ; 1913 ; (ВС) ; Ag ; VF+ ; 11 ; ZOLTAN333 ; 72883 
 1077 ; Рубль ; 1914 ; (ВС) ; Ag ; XF+ ; 19 ; Продано в зале ; 52000 
 1078 ; Рубль ; 1915 ; (ВС) ; Ag ; AU ; 24 ; Продано в зале ; 52000 
 1079 ; Полтина ( Петров-5 руб.) ; 1705 ;  ; Ag ; VF+ ; 6 ; форсаж ; 99450 
 1080 ; Полтина ; 1723 ;  ; Ag ; XF- ; 3 ; Продано в зале ; 71000 
 1081 ; Полтина ( Петров-6 руб.) ; 1725 ; СПБ ; Ag ; VF ; 1 ; попандопуло ; 175000 
 1082 ; Полтина ( Ильин-4 руб.) ; 1728 ;  ; Ag ; VF+ ; 1 ; попандопуло ; 125000 
 1083 ; Полтина ( Петров-40 руб.) ; 1741 ; ММД ; Ag ; VF+ ; 1 ; попандопуло ; 700000 
 1084 ; Полтина ( Петров-6 руб.) ; 1742 ; ММД ; Ag ; VF ; 3 ; попандопуло ; 90666 
 1085 ; Полтина ; 1747 ; СПБ ; Ag ; VF+ ; 1 ; to-to ; 40000 
 1086 ; Полтина ; 1772 ; СПБ АШ ; Ag ; XF- ; 3 ; Продано в зале ; 170000 
 1087 ; Полтина ; 1803 ; СПБ АИ ; Ag ; XF- ; 3 ; попандопуло ; 163200 
 1088 ; Полтина ; 1804 ; СПБ ФГ ; Ag ; XF ; 7 ; П00Г ; 163200 
 1089 ; Полтина ; 1830 ; СПБ НГ ; Ag ; XF ; 11 ; sheff78 ; 53975 
 1090 ; Полтина ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 3 ; to-to ; 21216 
 1091 ; Полтина ( Ильин-8 руб.) ; 1874 ; СПБ HI ; Ag ; XF ; 19 ; Продано в зале ; 160000 
 101 ; 1/4 копейки.  В капсуле NGC ; 1887 ; СПБ ; Cu ; MS 63 ; 23 ; Victory-2001 ; 4182 
 102 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 31 ; Arte ; 4134 
 103 ; 1/4 копейки.  В капсуле NGC ; 1899 ; СПБ ; Cu ; MS 65 ; 37 ; Продано в зале ; 4200 
 104 ; 1/4 копейки ; 1910 ; СПБ ; Cu ; AU ; 27 ; Продано в зале ; 6500 
 105 ; Бисти ; 1796 ; Грузия ; Cu ; VF ; 48 ; Продано в зале ; 24000 
 106 ; Георгиевский крест 3 ст. №173119 ;  ;  ; Ag ; VF+ ; 45 ; feofan ; 32396 
 107 ; Георгиевский крест 4 ст. №413818 ;  ;  ; Ag ; VF+ ; 21 ; feofan ; 15300 
 108 ; Георгиевский крест 4 степени № 616972. Р-ры: 34 на 34мм ;  ;  ; Ag ; VF-XF ; 17 ; bratss ; 10719 
 109 ; Гривна. М - 191,4г. Длина - 117мм ;  ;  ; Ag ;  ; 50 ; Продано в зале ; 30000 
 1001 ; 10 рублей. М-12,91 гр ; 1894 ; (АГ) АГ ; Au ; XF- ; 5 ; Продано в зале ; 220000 
 1002 ; 10 рублей. М-8,6гр ; 1903 ; (АР) АГ ; Au ; AU ; 20 ; Питер ; 51000 
 1003 ; 5 рублей. М-6,48 г ; 1832 ; СПБ ПД ; Au ; XF- ; 12 ; 25 ; 69360 
 1004 ; 5 рублей. М-6,54 ; 1839 ; СПБ АЧ ; Au ; XF+ ; 0 ; Продано в зале ; 52000 
 1005 ; 5 рублей. М-6,56гр ; 1842 ; СПБ АЧ ; Au ; XF+ ; 3 ; Продано в зале ; 60000 
 1006 ; 5 рублей. М-6,45 г ; 1890 ; (АГ) ; Au ; AU ; 16 ; Питер ; 85051 
 1007 ; 5 рублей. М-4,3гр ; 1897 ; (АГ) ; Au ; XF+ ; 0 ; Не продан ; 0 
 1008 ; 3 рубля. М-3,92гр ; 1875 ; СПБ НI ; Au ; XF ; 17 ; Продано в зале ; 113000 
 1009 ; Рубль (Петров -5 р.) ; 1719 ; OK ; Ag ; VF-XF ; 7 ; 31 ; 44200 
 1010 ; Рубль ( Петров-4,5 руб.) ; 1719 ; OK ; Ag ; VF+ ; 3 ; попандопуло ; 90666 
 1011 ; Рубль ( Петров-3,5 руб.) ; 1720 ; OK ; Ag ; XF- ; 1 ; попандопуло ; 125000 
 1012 ; Рубль ; 1725 ; ОК ; Ag ; VF-XF ; 33 ; П00Г ; 60000 
 1013 ; Рубль ; 1725 ; ОК ; Ag ; XF- ; 3 ; попандопуло ; 90666 
 1014 ; Рубль ( Петров-15 руб.) ; 1725 ; СПБ ; Ag ; VF-XF ; 7 ; finger ; 244800 
 1015 ; Рубль (Петров - 3,5 р.) ; 1727 ;  ; Ag ; XF ; 35 ; Продано в зале ; 135000 
 1016 ; Рубль ; 1727 ; СПБ ; Ag ; VF-XF ; 3 ; Продано в зале ; 80000 
 1017 ; Рубль ( Петров-3 руб.) ; 1727 ;  ; Ag ; VF-XF ; 5 ; Продано в зале ; 105000 
 1018 ; Рубль ( Петров-3,5 руб.) ; 1728 ;  ; Ag ; XF- ; 9 ; 8128 ; 106121 
 1019 ; Рубль ; 1728 ;  ; Ag ; VF+ ; 13 ; черный ; 29184 
 1020 ; Рубль ; 1731 ;  ; Ag ; AU/XF ; 7 ; 8128 ; 75480 
 1021 ; Рубль ; 1732 ;  ; Ag ; XF/XF+ ; 5 ; Продано в зале ; 30000 
 1022 ; Рубль ; 1733 ;  ; Ag ; XF- ; 3 ; черный ; 21420 
 1023 ; Рубль ; 1734 ;  ; Ag ; XF- ; 0 ; Не продан ; 0 
 1024 ; Рубль ( Петров-6 руб.) ; 1734 ;  ; Ag ; VF-XF ; 11 ; 8128 ; 215297 
 1025 ; Рубль ( Петров-4 руб.) ; 1734 ;  ; Ag ; XF- ; 5 ; 8128 ; 107100 
 1026 ; Рубль ; 1735 ;  ; Ag ; XF+ ; 1 ; 25 ; 30000 
 1027 ; Рубль ; 1737 ;  ; Ag ; XF- ; 5 ; черный ; 27081 
 1028 ; Рубль ; 1738 ;  ; Ag ; XF ; 9 ; попандопуло ; 40000 
 1029 ; Рубль ; 1738 ;  ; Ag ; XF ; 25 ; 25 ; 43860 
 1030 ; Рубль ; 1739 ; СПБ ; Ag ; VF-XF ; 13 ; sax ; 20288 
 1031 ; Рубль ; 1740 ;  ; Ag ; XF- ; 5 ; нумизмат ; 44880 
 1032 ; Рубль ; 1742 ; СПБ ; Ag ; XF- ; 5 ; 8128 ; 137700 
 1033 ; Рубль ; 1742 ; СПБ ; Ag ; XF+ ; 1 ; to-to ; 45000 
 1034 ; Рубль ; 1743 ; СПБ ; Ag ; XF-/XF+ ; 3 ; черный ; 24000 
 1035 ; Рубль ; 1745 ; СПБ ; Ag ; XF- ; 3 ; черный ; 20808 
 1036 ; Рубль ; 1748 ; СПБ ; Ag ; XF ; 3 ; Продано в зале ; 22000 
 1037 ; Рубль. (Петров-7 руб.) ; 1754 ; ММД МБ ; Ag ; VF-XF ; 3 ; 8128 ; 59670 
 1038 ; Рубль ; 1754 ; ММД МБ ; Ag ; XF- ; 1 ; черный ; 25000 
 1039 ; Рубль ; 1754 ; СПБ IM BS ; Ag ; XF+ ; 16 ; icebreaker ; 43723 
 1040 ; Рубль ; 1756 ; СПБ IM BS ; Ag ; XF+ ; 0 ; Продано в зале ; 36000 
 1041 ; Рубль ( Петров-25 руб.) ; 1757 ; СПБ ЯI ; Ag ; VF+ ; 1 ; попандопуло ; 700000 
 51 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 21 ; Продано в зале ; 15000 
 52 ; 5 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 13 ; Продано в зале ; 14000 
 53 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 35 ; Продано в зале ; 30000 
 54 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 37 ; Д.Ю. ; 15765 
 55 ; 5 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 18 ; Продано в зале ; 2600 
 56 ; 5 копеек. В капсуле PCGS ; 1887 ; СПБ АГ ; Ag ; MS 64 ; 42 ; metallolom ; 5500 
 57 ; 5 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 27 ; TaraskaPeter ; 1301 
 58 ; 4 копейки ; 1757 ; Ливонез ; Ag ; VF-XF ; 98 ; Д.Ю. ; 16431 
 59 ; Двойной абаз ; 1827 ; АТ Грузия ; Ag ; XF ; 46 ; Брат ; 19890 
 60 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 36 ; Продано в зале ; 9200 
 61 ; 5 копеек (Петров - 20р, Ильин - 15р) ; 1730 ; ММ ; Cu ; VG ; 73 ; max96 ; 34463 
 62 ; 5 копеек ; 1763 ; ЕМ ; Cu ; VF+ ; 54 ; Продано в зале ; 2400 
 63 ; 5 копеек (Петров - 5р, Ильин - 5р) ; 1767 ; ММ ; Cu ; VF ; 68 ; Arte ; 15500 
 64 ; 5 копеек (Петров - 5 руб, Ильин - 5 руб) ; 1767 ; ММ ; Cu ; F-VF ; 64 ; 234 ; 9552 
 65 ; 5 копеек (Тип герба - 1763 г.) ; 1770 ; ЕМ ; Cu ; VF- ; 112 ; finger ; 38000 
 66 ; 5 копеек (Петров - 10р, Ильин - 2р) ; 1781 ; КМ ; Cu ; VF+ ; 20 ; форсаж ; 9180 
 67 ; 5 копеек ; 1788 ; ММ ; Cu ; VF ; 10 ; bratss ; 567 
 68 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 19 ; 234 ; 3592 
 69 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 27 ; Vasiliy_t ; 5722 
 70 ; 5 копеек. В капсуле NGC ; 1795 ; КМ ; Cu ; MS62 ; 27 ; ervin ; 9193 
 71 ; 5 копеек ; 1796 ; КМ ; Cu ; XF- ; 41 ; to-to ; 4052 
 72 ; 5 копеек. В капсуле NGC ; 1833 ; ЕМ ФХ ; Cu ; MS62 ; 23 ; feofan ; 14000 
 73 ; 5 копеек (Ильин - 5 руб) ; 1837 ; ЕМ ФХ ; Cu ; VF ; 32 ; 4564546 ; 8262 
 74 ; 3 копейки ; 1913 ; СПБ ; Cu ; AU ; 30 ; коррозия ; 2081 
 75 ; 2 копейки ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 27 ; 2333 ; 7000 
 76 ; 2 копейки ; 1788 ; ММ ; Cu ; VF+ ; 61 ; 2333 ; 4080 
 77 ; 2 копейки (Петров - 8 руб, Ильин - 3 руб) ; 1788 ; ММ ; Cu ; F-VF ; 15 ; Продано в зале ; 7200 
 78 ; 2 копейки ; 1789 ; ЕМ ; Cu ; VF+ ; 44 ; Продано в зале ; 4000 
 79 ; 2 копейки ; 1843 ; ЕМ ; Cu ; VF-XF ; 26 ; Продано в зале ; 2600 
 80 ; 2 копейки ; 1843 ; СПМ ; Cu ; VF+ ; 29 ; MAG4060 ; 2010 
 81 ; 2 копейки ; 1851 ; ВМ ; Cu ; VF ; 39 ; evgenijzhuk ; 3631 
 82 ; 2 копейки ; 1851 ; ЕМ ; Cu ; VF+ ; 25 ; Продано в зале ; 2700 
 83 ; 2 копейки ; 1867 ; ЕМ ; Cu ; VF-XF ; 39 ; Продано в зале ; 30000 
 84 ; 2 копейки. В капсуле NGC ; 1888 ; СПБ ; Cu ; MS62 ; 17 ; Продано в зале ; 7500 
 85 ; 2 копейки ; 1911 ; СПБ ; Cu ; AU ; 25 ; Продано в зале ; 2100 
 86 ; Копейка ; 1712 ; ·БК· ; Cu ; VF ; 18 ; Продано в зале ; 6200 
 87 ; Копейка (Петров - 20р, Ильин - 8р) ; 1724 ;  ; Cu ; F-VF ; 57 ; double ; 71511 
 88 ; Копейка ; 1755 ; СПБ ; Cu ; F-VF ; 28 ; Продано в зале ; 6600 
 89 ; Копейка ; 1776 ; КМ "Сибирь" ; Cu ; VF+ ; 42 ; Илья Владимирович ; 1875 
 90 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; VF-XF ; 55 ; 0987654321 ; 7158 
 91 ; Копейка. В капсуле NGC ; 1904 ; СПБ ; Cu ; MS63 ; 19 ; feofan ; 5792 
 92 ; Денга ; 1787 ; КМ ; Cu ; VF ; 21 ; раритет ; 1532 
 93 ; Денга (Ильин - 5р) ; 1793 ;  ; Cu ; F-VF ; 35 ; раритет ; 5717 
 94 ; Деньга (Петров - 5 руб, Ильин - 3 руб) ; 1812 ; КМ АМ ; Cu ; VF- ; 54 ; Продано в зале ; 9500 
 95 ; Денежка. В капсуле NGC ; 1857 ; ВМ ; Cu ; AU58 ; 29 ; Продано в зале ; 10000 
 96 ; 1/2 копейки.  В капсуле NGC ; 1895 ; СПБ ; Cu ; MS 63 ; 31 ; Продано в зале ; 4800 
 97 ; Полушка ; 1789 ; ЕМ ; Cu ; XF ; 19 ; Продано в зале ; 7500 
 98 ; 1/4 копейки. В капсуле PCGS ; 1876 ; СПБ ; Cu ; MS 63 ; 15 ; Продано в зале ; 4800 
 99 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 16 ; Продано в зале ; 4800 
 100 ; 1/4 копейки (Петров-3р.) ; 1884 ; СПБ ; Cu ; XF- ; 74 ; ct200h ; 24000 
 1 ; 5 рублей. М-6,54г ; 1853 ; СПБ АГ ; Au ; XF+ ; 43 ; Продано в зале ; 49000 
 2 ; 5 рублей. В капсуле NGC ; 1904 ; (АР) ; Au ; MS64 ; 21 ; Продано в зале ; 16500 
 3 ; Рубль ; 1732 ;  ; Ag ; VF-XF ; 26 ; Продано в зале ; 15500 
 4 ; Рубль ; 1732 ;  ; Ag ; XF- ; 45 ; tornado114 ; 29112 
 5 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; XF- ; 23 ; Продано в зале ; 14500 
 6 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; AU ; 42 ; Продано в зале ; 40000 
 7 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF+ ; 26 ; Продано в зале ; 19000 
 8 ; Рубль ; 1777 ; СПБ ФЛ ; Ag ; AU ; 60 ; icebreaker ; 44000 
 9 ; Рубль ; 1787 ; СПБ ЯА TI ; Ag ; XF ; 22 ; Продано в зале ; 46000 
 10 ; Рубль ; 1802 ; СПБ АИ ; Ag ; XF+ ; 62 ; Продано в зале ; 72000 
 11 ; Рубль ; 1813 ; СПБ ПС ; Ag ; XF+ ; 86 ; sax ; 22551 
 12 ; Рубль ; 1814 ; СПБ МФ ; Ag ; XF+ ; 55 ; sax ; 16118 
 13 ; Рубль ; 1815 ; СПБ МФ ; Ag ; XF+ ; 28 ; Продано в зале ; 18500 
 14 ; Рубль. Ошибка в надписи на гурте 28 14/25 ; 1817 ; СПБ ПС ; Ag ; AU ; 67 ; Продано в зале ; 43000 
 15 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 17 ; sax ; 20400 
 16 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF+ ; 36 ; Продано в зале ; 16000 
 17 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF ; 33 ; ervin ; 92596 
 18 ; Рубль ; 1877 ; СПБ HI ; Ag ; XF+ ; 21 ; 234 ; 8900 
 19 ; Рубль. В капсуле NGC ; 1896 ; ( * ) ; Ag ; AU ; 30 ; Продано в зале ; 13000 
 20 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF+ ; 38 ; Продано в зале ; 13000 
 21 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF+/AU ; 40 ; Продано в зале ; 15000 
 22 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 60 ; Макар из ЦАР ; 17929 
 23 ; Полтина ; 1733 ;  ; Ag ; VF-XF ; 80 ; Продано в зале ; 42000 
 24 ; Полтина ; 1737 ;  ; Ag ; VF+ ; 24 ; Продано в зале ; 18000 
 25 ; Полтина ; 1742 ; СПБ ; Ag ; VF-/VF+ ; 38 ; Продано в зале ; 60000 
 26 ; Полтина ; 1749 ; СПБ ; Ag ; XF- ; 51 ; Продано в зале ; 62000 
 27 ; Полуполтинник ; 1783 ; СПБ ММ ; Ag ; VF-XF ; 47 ; 2333 ; 10812 
 28 ; 25 копеек ; 1838 ; СПБ НГ ; Ag ; XF ; 43 ; 25 ; 8491 
 29 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 58 ; max96 ; 6742 
 30 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; XF+ ; 41 ; max96 ; 5053 
 31 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 30 ; Продано в зале ; 6500 
 32 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; XF+ ; 28 ; Продано в зале ; 23000 
 33 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 84 ; Продано в зале ; 14000 
 34 ; 20 копеек ; 1829 ; СПБ НГ ; Ag ; XF ; 50 ; 25 ; 28000 
 35 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 7 ; Продано в зале ; 1400 
 36 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 15 ; Продано в зале ; 1600 
 37 ; 20 копеек. В капсуле NGC ; 1891 ; СПБ АГ ; Ag ; MS 64 ; 26 ; Продано в зале ; 9500 
 38 ; 20 копеек. В капсуле NGC ; 1907 ; СПБ ЭБ ; Ag ; MS 66 ; 39 ; dsidorov ; 8255 
 39 ; 15 копеек. В капсуле NGC ; 1862 ; СПБ МИ ; Ag ; MS62 ; 41 ; TaraskaPeter ; 3400 
 40 ; 15 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 22 ; Продано в зале ; 3800 
 41 ; Гривна ; 1709 ; БК ; Ag ; VF ; 40 ; 25 ; 22000 
 42 ; Гривенник ; 1764 ;  ; Ag ; VF+ ; 15 ; vkkk ; 11111 
 43 ; Гривенник (Ильин-4 р.) ; 1765 ; СПБ ; Ag ; VF/VF+ ; 46 ; Продано в зале ; 30000 
 44 ; 10 копеек ; 1822 ; СПБ ПД ; Ag ; XF ; 45 ; sax ; 2738 
 45 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 79 ; Продано в зале ; 14000 
 46 ; 10 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 16 ; sergius ; 5424 
 47 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 43 ; Vitalik1 ; 5100 
 48 ; 5 копеек (Большой кружок) ; 1756 ; СПБ ; Ag ; XF+ ; 65 ; Продано в зале ; 26000 
 49 ; 5 копеек ; 1760 ; СПБ ; Ag ; XF- ; 46 ; fgd ; 5862 
 50 ; 5 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 57 ; Продано в зале ; 26000 
 4836 ; Бона иностранная. Германия.Нотгелд. ; 1923 ;  ;  ;  ; 32 ; smel ; 187 
 4837 ; Бона иностранная. Германия.Нотгелд. ; 1922 ;  ;  ;  ; 49 ; smel ; 175 
 4838 ; Бона иностранная. Германия.Нотгелд. ; 1923 ;  ;  ;  ; 34 ; smel ; 230 
 4839 ; Бона иностранная. Германия.Нотгелд. ; 1921 ;  ;  ;  ; 74 ; advokatx ; 104 
 4840 ; Бона иностранная. Германия.Нотгелд. ; 1921 ;  ;  ;  ; 23 ; smel ; 139 
 4841 ; Бона иностранная. Германия.Нотгелд. ; 1923 ;  ;  ;  ; 27 ; smel ; 101 
 4842 ; Бона иностранная. Германия.Нотгелд. ; 1923 ;  ;  ;  ; 25 ; smel ; 114 
 4843 ; Бона иностранная. Германия.Нотгелд. ; 1923 ;  ;  ;  ; 37 ; smel ; 129 
 4844 ; Бона иностранная. Германия.Нотгелд. ; 1923 ;  ;  ;  ; 37 ; don-juras ; 40 
 4845 ; Бона иностранная. Германия.Нотгелд. ;  ;  ;  ;  ; 15 ; rem16 ; 81 
 4846 ; Бона иностранная. Германия.Нотгелд. ; 1921 ;  ;  ;  ; 54 ; von_Schwarz ; 222 
 4847 ; Бона иностранная. Германия.Нотгелд. ; 1923 ;  ;  ;  ; 28 ; smel ; 104 
 4848 ; Бона иностранная. Германия.Нотгелд. ; 1923 ;  ;  ;  ; 13 ; von_Schwarz ; 50 
 4849 ; Бона иностранная. Германия.Нотгелд. ; 1923 ;  ;  ;  ; 17 ; smel ; 268 
