 251 ; Медаль. Майя Плисецкая. " D - 40mm ;  ;  ; Ag ; AU ; 35 ; Karhu ; 9000 
 32 ; Рубль ; 1728 ;  ; Ag ; XF ; 10 ; Продано в зале ; 62000 
 33 ; Рубль (Ильин-6р) В надписи ромбики ; 1728 ;  ; Ag ; VF-XF/XF ; 1 ; Продано в зале ; 42000 
 34 ; Рубль. Ильин - 4 р ; 1730 ;  ; Ag ; VF+ ; 0 ; Не продан ; 0 
 35 ; Рубль. Без локона за ухом. Ильин - 5 р ; 1731 ;  ; Ag ; VF-XF ; 0 ; Не продан ; 0 
 36 ; Рубль ; 1732 ;  ; Ag ; VF-XF ; 0 ; Продано в зале ; 30000 
 37 ; Рубль. В капсуле NGC MS 63 ; 1732 ;  ; Ag ;  ; 0 ; Не продан ; 0 
 38 ; Рубль. В капсуле NGC MS 61 ; 1732 ;  ; Ag ;  ; 0 ; Не продан ; 0 
 39 ; Рубль ; 1732 ;  ; Ag ; XF ; 1 ; dtv kv ; 30000 
 40 ; Рубль ; 1733 ;  ; Ag ; XF ; 0 ; Не продан ; 0 
 41 ; Рубль ; 1733 ;  ; Ag ; VF-XF/XF ; 0 ; Не продан ; 0 
 42 ; Рубль ; 1733 ;  ; Ag ; XF ; 1 ; Продано в зале ; 38000 
 43 ; Рубль. В капсуле NGC MS 63 ; 1742 ; СПБ ; Ag ;  ; 0 ; Не продан ; 0 
 44 ; Рубль. В капсуле NGC MS 61 ; 1762 ; СПБ НК TI ; Ag ;  ; 0 ; Не продан ; 0 
 45 ; Рубль ; 1773 ; СПБ QЛ TИ ; Ag ; XF+ ; 0 ; Продано в зале ; 25000 
 46 ; Рубль ; 1802 ; СПБ АИ ; Ag ; XF- ; 0 ; Не продан ; 0 
 47 ; Рубль. В капсуле NGC AU 58 ; 1802 ; СПБ АИ ; Ag ;  ; 0 ; Не продан ; 0 
 48 ; Рубль ; 1808 ; СПБ ФГ ; Ag ; VF+ ; 0 ; Не продан ; 0 
 49 ; Рубль ; 1809 ; СПБ ФГ ; Ag ; XF ; 0 ; Не продан ; 0 
 50 ; Рубль. В капсуле NGC. MS62 ; 1818 ; СПБ ПС ; Ag ;  ; 0 ; Не продан ; 0 
 4708 ; Бона иностранная ;  ;  ;  ;  ; 35 ; Синица ; 224 
 4709 ; Бона иностранная ;  ;  ;  ;  ; 25 ; a54 ; 117 
 4710 ; Бона иностранная ;  ;  ;  ;  ; 23 ; sikachai ; 102 
 4711 ; Бона иностранная ;  ;  ;  ;  ; 85 ; filat100 ; 352 
 4712 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ИЮМов1 ; 137 
 4713 ; Бона иностранная ;  ;  ;  ;  ; 20 ; filat100 ; 142 
 4714 ; Бона иностранная ;  ;  ;  ;  ; 36 ; krut0803 ; 590 
 4715 ; Бона иностранная ;  ;  ;  ;  ; 37 ; krut0803 ; 468 
 4716 ; Бона иностранная ;  ;  ;  ;  ; 24 ; krut0803 ; 400 
 4717 ; Бона иностранная ;  ;  ;  ;  ; 24 ; krut0803 ; 288 
 4718 ; Бона иностранная ;  ;  ;  ;  ; 30 ; krut0803 ; 343 
 4719 ; Бона иностранная ;  ;  ;  ;  ; 49 ; SergeyAnatoljevich ; 663 
 4720 ; Бона иностранная ;  ;  ;  ;  ; 29 ; Sky2 ; 157 
 4721 ; Бона иностранная ;  ;  ;  ;  ; 32 ; krut0803 ; 402 
 4722 ; Бона иностранная ;  ;  ;  ;  ; 29 ; krut0803 ; 369 
 4723 ; Бона иностранная ;  ;  ;  ;  ; 11 ; a54 ; 113 
 4724 ; Бона иностранная ;  ;  ;  ;  ; 16 ; krut0803 ; 200 
 4725 ; Бона иностранная ;  ;  ;  ;  ; 48 ; Gera_K ; 181 
 4726 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Sky2 ; 76 
 4727 ; Бона иностранная ;  ;  ;  ;  ; 17 ; krut0803 ; 264 
 4801 ; Бона иностранная.Франция. ;  ;  ;  ;  ; 32 ; Улетный ; 102 
 4802 ; Бона иностранная.Франция. ;  ;  ;  ;  ; 14 ; Улетный ; 109 
 4803 ; Бона иностранная.Франция. ;  ;  ;  ;  ; 10 ; Улетный ; 57 
 4804 ; Бона иностранная.Франция. ;  ;  ;  ;  ; 45 ; Sky2 ; 213 
 4805 ; Бона иностранная.Франция. ;  ;  ;  ;  ; 61 ; Sky2 ; 377 
 4806 ; Бона иностранная.Франция. ;  ;  ;  ;  ; 35 ; Sky2 ; 275 
 4807 ; Бона иностранная.Франция. ;  ;  ;  ;  ; 46 ; Sky2 ; 269 
 4808 ; Бона иностранная.Германия. ;  ;  ;  ;  ; 35 ; Sky2 ; 104 
 4809 ; Бона иностранная.Германия. ;  ;  ;  ;  ; 42 ; maremark ; 79 
 4810 ; Бона иностранная.Германия. ;  ;  ;  ;  ; 38 ; westof ; 48 
 4811 ; Бона иностранная.Германия. ;  ;  ;  ;  ; 34 ; westof ; 47 
 4812 ; Бона иностранная.Германия. ;  ;  ;  ;  ; 36 ; maremark ; 101 
 4813 ; Бона иностранная.Германия. ;  ;  ;  ;  ; 43 ; westof ; 132 
 4814 ; Бона иностранная.Германия. ;  ;  ;  ;  ; 71 ; smel ; 251 
 4815 ; Бона иностранная.Германия. ;  ;  ;  ;  ; 44 ; Krechet ; 142 
 4816 ; Бона иностранная.Германия. ;  ;  ;  ;  ; 61 ; Майкл ; 126 
 4817 ; Бона иностранная.Германия. ;  ;  ;  ;  ; 45 ; Cuff ; 53 
 4818 ; Лот.5штук.Нотгельды Германия. ;  ;  ;  ;  ; 26 ; Скрудж ; 176 
 4819 ; Лот.5штук.Нотгельды Германия. ;  ;  ;  ;  ; 50 ; Скрудж ; 174 
 4820 ; Лот.5штук.Нотгельды Германия. ;  ;  ;  ;  ; 55 ; dases ; 211 
 4821 ; Лот.5штук.Нотгельды Германия. ;  ;  ;  ;  ; 21 ; sos1 ; 211 
 4822 ; Лот.5штук.Нотгельды Германия. ;  ;  ;  ;  ; 10 ; sos1 ; 211 
 4823 ; Лот.5штук.Нотгельды Германия. ;  ;  ;  ;  ; 18 ; Скрудж ; 206 
 4824 ; Лот.5штук.Нотгельды Германия. ;  ;  ;  ;  ; 11 ; Скрудж ; 175 
 4825 ; Лот.5штук.Нотгельды Германия. ;  ;  ;  ;  ; 13 ; Cuff ; 207 
 4826 ; Лот.5штук.Нотгельды Германия. ;  ;  ;  ;  ; 9 ; Cuff ; 250 
 4827 ; Лот.5штук.Нотгельды Германия. ;  ;  ;  ;  ; 59 ; Cuff ; 249 
 4828 ; Лот.5штук.Нотгельды Германия. ;  ;  ;  ;  ; 49 ; Cuff ; 250 
 4829 ; Лот.6штук.Нотгельды Германия. ;  ;  ;  ;  ; 35 ; Улетный ; 330 
 4830 ; Лот.6штук.Нотгельды Германия. ;  ;  ;  ;  ; 13 ; BAG ; 249 
 4658 ; Бона иностранная ;  ;  ;  ;  ; 11 ; mirumir ; 69 
 4659 ; Бона иностранная ;  ;  ;  ;  ; 10 ; mirumir ; 69 
 4660 ; Бона иностранная ;  ;  ;  ;  ; 21 ; mirumir ; 61 
 4661 ; Бона иностранная ;  ;  ;  ;  ; 29 ; mirumir ; 59 
 4662 ; Бона иностранная ;  ;  ;  ;  ; 6 ; mirumir ; 61 
 4663 ; Бона иностранная ;  ;  ;  ;  ; 9 ; krft ; 59 
 4664 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 41 
 4665 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4666 ; Бона иностранная ;  ;  ;  ;  ; 8 ; mirumir ; 61 
 4667 ; Бона иностранная ;  ;  ;  ;  ; 6 ; mirumir ; 61 
 4668 ; Бона иностранная ;  ;  ;  ;  ; 10 ; krft ; 59 
 4669 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 41 
 4670 ; Бона иностранная ;  ;  ;  ;  ; 16 ; krft ; 53 
 4671 ; Бона иностранная ;  ;  ;  ;  ; 13 ; sos1 ; 67 
 4672 ; Бона иностранная ;  ;  ;  ;  ; 13 ; sikachai ; 87 
 4673 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 42 
 4674 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 41 
 4675 ; Бона иностранная ;  ;  ;  ;  ; 10 ; dases ; 56 
 4676 ; Бона иностранная ;  ;  ;  ;  ; 7 ; krft ; 43 
 4677 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 42 
 4678 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 42 
 4679 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 42 
 4680 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 43 
 4681 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 42 
 4682 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Cuff ; 41 
 4683 ; Бона иностранная ;  ;  ;  ;  ; 8 ; krft ; 42 
 4684 ; Бона иностранная ;  ;  ;  ;  ; 6 ; krft ; 42 
 4685 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Cuff ; 51 
 4686 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4687 ; Бона иностранная ;  ;  ;  ;  ; 11 ; smel ; 73 
 4688 ; Бона иностранная ;  ;  ;  ;  ; 6 ; krft ; 42 
 4689 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Скрудж ; 41 
 4690 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 40 
 4691 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 40 
 4692 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 40 
 4693 ; Бона иностранная ;  ;  ;  ;  ; 27 ; smel ; 87 
 4694 ; Бона иностранная ;  ;  ;  ;  ; 13 ; sikachai ; 85 
 4695 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4696 ; Бона иностранная ;  ;  ;  ;  ; 18 ; krft ; 62 
 4697 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Cuff ; 43 
 4698 ; Бона иностранная ;  ;  ;  ;  ; 9 ; smel ; 162 
 4699 ; Бона иностранная ;  ;  ;  ;  ; 25 ; ИЮМов1 ; 119 
 4700 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Gera_K ; 68 
 4701 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Gera_K ; 95 
 4702 ; Бона иностранная ;  ;  ;  ;  ; 61 ; ppp ; 71 
 4703 ; Бона иностранная ;  ;  ;  ;  ; 27 ; filat100 ; 111 
 4704 ; Бона иностранная ;  ;  ;  ;  ; 34 ; yurrgen ; 102 
 4705 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Gera_K ; 125 
 4706 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Gera_K ; 75 
 4707 ; Бона иностранная ;  ;  ;  ;  ; 55 ; filat100 ; 275 
 4608 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 40 
 4609 ; Бона иностранная ;  ;  ;  ;  ; 15 ; yurrgen ; 41 
 4610 ; Бона иностранная ;  ;  ;  ;  ; 4 ; vladimir-sirke ; 20 
 4611 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Alex75 ; 53 
 4612 ; Бона иностранная ;  ;  ;  ;  ; 15 ; yurrgen ; 65 
 4613 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 11000 ; 19 
 4614 ; Бона иностранная ;  ;  ;  ;  ; 3 ; yurrgen ; 31 
 4615 ; Бона иностранная ;  ;  ;  ;  ; 27 ; yurrgen ; 102 
 4616 ; Бона иностранная ;  ;  ;  ;  ; 40 ; про ; 63 
 4617 ; Бона иностранная ;  ;  ;  ;  ; 13 ; yurrgen ; 69 
 4618 ; Бона иностранная ;  ;  ;  ;  ; 39 ; vladimir-sirke ; 61 
 4619 ; Бона иностранная ;  ;  ;  ;  ; 3 ; vladimir-sirke ; 26 
 4620 ; Бона иностранная ;  ;  ;  ;  ; 3 ; yurrgen ; 31 
 4621 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ML ; 32 
 4622 ; Бона иностранная ;  ;  ;  ;  ; 2 ; у44 ; 30 
 4623 ; Бона иностранная ;  ;  ;  ;  ; 24 ; чипыжи ; 53 
 4624 ; Бона иностранная ;  ;  ;  ;  ; 9 ; vladzory ; 51 
 4625 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Gera_K ; 227 
 4626 ; Бона иностранная ;  ;  ;  ;  ; 13 ; KMTKMP ; 21 
 4627 ; Бона иностранная ;  ;  ;  ;  ; 5 ; KMTKMP ; 13 
 4628 ; Бона иностранная ;  ;  ;  ;  ; 5 ; KMTKMP ; 13 
 4629 ; Бона иностранная ;  ;  ;  ;  ; 10 ; vladzory ; 83 
 4630 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Alex75 ; 84 
 4631 ; Бона иностранная ;  ;  ;  ;  ; 23 ; карпер ; 107 
 4632 ; Бона иностранная ;  ;  ;  ;  ; 27 ; карпер ; 159 
 4633 ; Бона иностранная ;  ;  ;  ;  ; 19 ; карпер ; 148 
 4634 ; Бона иностранная ;  ;  ;  ;  ; 25 ; карпер ; 188 
 4635 ; Бона иностранная ;  ;  ;  ;  ; 9 ; В1951 ; 61 
 4636 ; Бона иностранная ;  ;  ;  ;  ; 36 ; ъхз ; 53 
 4637 ; Бона иностранная ;  ;  ;  ;  ; 2 ; vladimir-sirke ; 35 
 4638 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Gera_K ; 88 
 4639 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 11000 ; 36 
 4640 ; Бона иностранная ;  ;  ;  ;  ; 19 ; СЁМА ; 257 
 4641 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Скрудж ; 37 
 4642 ; Бона иностранная ;  ;  ;  ;  ; 46 ; vladzory ; 59 
 4643 ; Бона иностранная ;  ;  ;  ;  ; 22 ; krft ; 50 
 4644 ; Бона иностранная ;  ;  ;  ;  ; 19 ; карпер ; 53 
 4645 ; Бона иностранная ;  ;  ;  ;  ; 13 ; yurrgen ; 102 
 4646 ; Бона иностранная ;  ;  ;  ;  ; 4 ; карпер ; 42 
 4647 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4648 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 40 
 4649 ; Бона иностранная ;  ;  ;  ;  ; 4 ; карпер ; 57 
 4650 ; Бона иностранная ;  ;  ;  ;  ; 3 ; карпер ; 57 
 4651 ; Бона иностранная ;  ;  ;  ;  ; 5 ; krft ; 41 
 4652 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 41 
 4653 ; Бона иностранная ;  ;  ;  ;  ; 7 ; карпер ; 51 
 4654 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 51 
 4655 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4656 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 42 
 4657 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4558 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 42 
 4559 ; Бона иностранная ;  ;  ;  ;  ; 13 ; карпер ; 128 
 4560 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4561 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 40 
 4562 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Cuff ; 66 
 4563 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 40 
 4564 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4565 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4566 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 40 
 4567 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 31 
 4568 ; Бона иностранная ;  ;  ;  ;  ; 48 ; smel ; 126 
 4569 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4570 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Cuff ; 42 
 4571 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4572 ; Бона иностранная ;  ;  ;  ;  ; 6 ; карпер ; 42 
 4573 ; Бона иностранная ;  ;  ;  ;  ; 7 ; карпер ; 43 
 4574 ; Бона иностранная ;  ;  ;  ;  ; 6 ; карпер ; 42 
 4575 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 40 
 4576 ; Бона иностранная ;  ;  ;  ;  ; 13 ; sikachai ; 80 
 4577 ; Бона иностранная ;  ;  ;  ;  ; 5 ; krft ; 40 
 4578 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 40 
 4579 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Cuff ; 41 
 4580 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ML ; 91 
 4581 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 20 
 4582 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4583 ; Бона иностранная ;  ;  ;  ;  ; 4 ; карпер ; 41 
 4584 ; Бона иностранная ;  ;  ;  ;  ; 4 ; карпер ; 41 
 4585 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Cuff ; 40 
 4586 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Cuff ; 51 
 4587 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Cuff ; 42 
 4588 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 161rus ; 32 
 4589 ; Бона иностранная ;  ;  ;  ;  ; 6 ; dases ; 42 
 4590 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 40 
 4591 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Cuff ; 42 
 4592 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Cuff ; 40 
 4593 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Cuff ; 33 
 4594 ; Бона иностранная ;  ;  ;  ;  ; 46 ; Улетный ; 61 
 4595 ; Бона иностранная ;  ;  ;  ;  ; 6 ; карпер ; 42 
 4596 ; Бона иностранная ;  ;  ;  ;  ; 35 ; obr73 ; 301 
 4597 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Cuff ; 51 
 4598 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 20 
 4599 ; Бона иностранная ;  ;  ;  ;  ; 6 ; карпер ; 42 
 4600 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 41 
 4601 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 43 
 4602 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Cuff ; 63 
 4603 ; Бона иностранная ;  ;  ;  ;  ; 33 ; карпер ; 150 
 4604 ; Бона иностранная ;  ;  ;  ;  ; 10 ; карпер ; 59 
 4605 ; Бона иностранная ;  ;  ;  ;  ; 6 ; карпер ; 42 
 4606 ; Бона иностранная ;  ;  ;  ;  ; 4 ; карпер ; 42 
 4607 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 30 
 4508 ; Бона иностранная ;  ;  ;  ;  ; 20 ; карпер ; 70 
 4509 ; Бона иностранная ;  ;  ;  ;  ; 6 ; карпер ; 51 
 4510 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4511 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4512 ; Бона иностранная ;  ;  ;  ;  ; 21 ; карпер ; 60 
 4513 ; Бона иностранная ;  ;  ;  ;  ; 6 ; карпер ; 43 
 4514 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4515 ; Бона иностранная ;  ;  ;  ;  ; 13 ; карпер ; 50 
 4516 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4517 ; Бона иностранная ;  ;  ;  ;  ; 6 ; карпер ; 51 
 4518 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4519 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4520 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4521 ; Бона иностранная ;  ;  ;  ;  ; 49 ; карпер ; 50 
 4522 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 42 
 4523 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 42 
 4524 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 40 
 4525 ; Бона иностранная ;  ;  ;  ;  ; 8 ; карпер ; 51 
 4526 ; Бона иностранная ;  ;  ;  ;  ; 7 ; карпер ; 42 
 4527 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 40 
 4528 ; Бона иностранная ;  ;  ;  ;  ; 1 ; у44 ; 36 
 4529 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 11000 ; 39 
 4530 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4531 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 31 
 4532 ; Бона иностранная ;  ;  ;  ;  ; 25 ; smel ; 129 
 4533 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 31 
 4534 ; Бона иностранная ;  ;  ;  ;  ; 16 ; sos1 ; 55 
 4535 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 161rus ; 30 
 4536 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ML ; 91 
 4537 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Cuff ; 55 
 4538 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4539 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 161rus ; 29 
 4540 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Cuff ; 30 
 4541 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4542 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Cuff ; 31 
 4543 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4544 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 42 
 4545 ; Бона иностранная ;  ;  ;  ;  ; 22 ; карпер ; 91 
 4546 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 161rus ; 32 
 4547 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Cuff ; 42 
 4548 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 31 
 4549 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 11000 ; 39 
 4550 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 31 
 4551 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 40 
 4552 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 40 
 4553 ; Бона иностранная ;  ;  ;  ;  ; 14 ; westof ; 102 
 4554 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cuff ; 31 
 4555 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Cuff ; 31 
 4556 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 4557 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Cuff ; 64 
 4314 ; 500 рублей ; 1912 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ; F ; 21 ; *sanek* ; 679 
 4315 ; 50 копеек ; 1919 ;  ;  ; AU ; 56 ; verunk1 ; 6127 
 4316 ; 1 рубль ; 1919 ;  ;  ; AU ; 76 ; verunk1 ; 6354 
 4317 ; 3 рубля ; 1919 ;  ;  ; VF+ ; 16 ; vital73 ; 3000 
 4318 ; 1 марка ; 1919 ;  ;  ; XF- ; 38 ; Sky2 ; 683 
 4319 ; 5 марок ; 1919 ;  ;  ; XF- ; 52 ; Соколов ; 1999 
 4320 ; Лот бон.4шт.5,10,25,50коп.Латвия. ;  ;  ;  ; F-VF ; 48 ; Sky2 ; 642 
